InvoiceNo,InvoiceDate,StockCode,Description,Quantity,UnitPrice,Revenue,CustomerID,Country
536365,2010-12-01 08:26:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.55,15.3,17850,United Kingdom
536373,2010-12-01 09:02:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.55,15.3,17850,United Kingdom
536375,2010-12-01 09:32:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.55,15.3,17850,United Kingdom
536390,2010-12-01 10:19:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,64,2.55,163.2,17511,United Kingdom
536394,2010-12-01 10:39:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,13408,United Kingdom
536396,2010-12-01 10:51:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.55,15.3,17850,United Kingdom
536401,2010-12-01 11:21:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,4,2.95,11.8,15862,United Kingdom
536406,2010-12-01 11:33:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,8,2.55,20.4,17850,United Kingdom
536502,2010-12-01 12:36:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,16552,United Kingdom
536520,2010-12-01 12:43:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,3,2.95,8.850000000000001,14729,United Kingdom
536542,2010-12-01 14:11:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.95,94.4,16456,United Kingdom
536575,2010-12-01 16:01:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,128,2.55,326.4,13777,United Kingdom
536576,2010-12-01 16:11:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,128,2.55,326.4,13777,United Kingdom
536590,2010-12-01 16:52:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,13065,United Kingdom
536594,2010-12-01 17:22:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,15235,United Kingdom
536600,2010-12-02 08:32:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.55,15.3,17850,United Kingdom
536602,2010-12-02 08:34:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.55,15.3,17850,United Kingdom
536607,2010-12-02 09:29:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,17732,United Kingdom
536609,2010-12-02 09:41:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.55,15.3,17850,United Kingdom
536612,2010-12-02 09:44:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.55,15.3,17850,United Kingdom
536628,2010-12-02 10:54:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.55,15.3,17850,United Kingdom
536630,2010-12-02 10:56:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.55,15.3,17850,United Kingdom
536685,2010-12-02 12:23:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,12,2.55,30.6,17850,United Kingdom
536690,2010-12-02 12:25:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.55,15.3,17850,United Kingdom
536749,2010-12-02 13:49:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,1,2.95,2.95,17976,United Kingdom
536750,2010-12-02 14:04:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,12,2.55,30.6,17850,United Kingdom
536752,2010-12-02 14:06:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.55,15.3,17850,United Kingdom
